,UID,min,max,mean,std
1612,1665,-120.0,-18.9715518951416,-104.90300750732422,17.66114855304973
1613,1666,-120.0,-22.23475456237793,-101.22968292236328,19.26114005227316
1614,1667,-120.0,-20.92287826538086,-100.0964584350586,19.387680137481155
1615,1669,-120.0,-29.27692413330078,-111.01068878173828,15.243466337785868
1616,1670,-120.0,-27.51418685913086,-107.2409896850586,16.829561220048934
1617,1671,-120.0,-28.030784606933594,-107.25936889648438,16.60923719662966
1618,1672,-120.0,-29.87338638305664,-106.47865295410156,17.83323731203462
1619,1673,-120.0,-26.316946029663086,-107.21641540527344,16.66988148519565
1620,1674,-120.0,-22.030559539794922,-100.96122741699219,19.39063522990262
1621,1677,-120.0,-24.5462703704834,-102.59220123291016,18.791635900952965
1622,1678,-120.0,-23.976747512817383,-113.66868591308594,15.084924491008037
1623,1679,-120.0,-26.697566986083984,-114.1231460571289,14.276383453512263
1624,1680,-120.0,-26.39492416381836,-114.11636352539062,14.27059198254321
1625,1681,-120.0,-27.927627563476562,-106.9820327758789,17.57261458768346
1626,1682,-120.0,-27.80484390258789,-102.6673355102539,19.666896926480213
1627,1683,-120.0,-27.08724021911621,-107.7191390991211,16.75207051247929
1628,1684,-120.0,-25.570510864257812,-105.79499816894531,17.2114481596961
1629,1685,-120.0,-23.879562377929688,-101.78186798095703,18.96572515008983
1630,1686,-120.0,-20.46027183532715,-108.59317779541016,16.31887540794641
1631,1687,-120.0,-25.789794921875,-88.7547607421875,18.150593964917427
1632,1688,-120.0,-21.22257423400879,-114.42882537841797,11.81833274584878
1633,1689,-120.0,-21.22257423400879,-114.42882537841797,11.81833274584878
1634,1690,-120.0,-25.62775421142578,-105.17948913574219,18.924679486119278
1635,1691,-120.0,-18.80023956298828,-109.97286224365234,16.162996694864574
1636,1692,-120.0,-18.80023956298828,-109.972900390625,16.16301179976842
1637,1693,-120.0,-18.80023956298828,-109.972900390625,16.16301179976842
1638,1694,-120.0,-25.489503860473633,-97.53547668457031,21.5830171579108
1639,1695,-120.0,-28.47833251953125,-95.26849365234375,21.159602070115238
1640,1696,-120.0,-27.589252471923828,-100.5539779663086,20.901457141657165
1641,1697,-120.0,-25.612335205078125,-99.91313171386719,20.67409742753863
1642,1698,-120.0,-25.64147186279297,-96.29176330566406,18.543636511701934
1643,1699,-120.0,-26.1900634765625,-115.30009460449219,12.763611353385587
1644,1700,-120.0,-26.420852661132812,-107.53712463378906,17.24138747011189
1645,1701,-120.0,-27.641094207763672,-110.18031311035156,16.691112341637744
1646,1702,-120.0,-19.572965621948242,-115.02766418457031,11.22817843493756
1647,1703,-120.0,-26.420852661132812,-107.53712463378906,17.24138747011189
1648,1704,-120.0,-26.30103874206543,-97.92375183105469,20.854805503711997
